name,mz,rt,W03.01,W30.01,W30.02
M81T1264,81.06903712,1264.195,255.64,310.9148254,287.5263977
M81T1193,81.06872188,1192.775,305.7374268,223.5566667,193.698
M81T1128,81.06893412,1128.47,277.7942857,412.61,236.9578613
M81T1072,81.06856027,1071.51,239.5594482,328.4966667,273.3291626
M82T1088,82.05211867,1088.49,745.5085714,412.92,588.8992004
M82T1373,82.06492466,1372.77,236.852,1230.06499,332.7333333
M82T1319,82.06485997,1319.13,494.32,288.904,260.292
M82T336,82.06416868,335.8975,3371.5065,9943.304299,17831.1885
M83T1367,82.94400243,1366.66,381.8121338,397.8303223,386.7220459
M83T1066,82.94522791,1066.31,368.6477539,561.0391846,342.102
M83T1331,82.94389157,1331.14,264.176,356.96,316.3416667
M83T1303,82.94416303,1302.94,373.8667969,300.6417969,342.5782227
M83T1265,82.9442237,1264.88,270.864,538.2588704,298.452
M83T1094,82.94318625,1093.7,642.5165667,5717.065556,626.4166938
M83T1045,82.9976554,1044.91,2138.837003,1707.927344,2573.841464
M83T1133,82.99781718,1132.625,195.92,742.8950684,1006.30426
M83T1070,82.99775034,1070.085,248.7857143,204.29,1431.955078
M83T1105,82.99831937,1105.44,1839.331299,505.1096296,2041.624891
M83T1363,83.01052482,1363.42,1058.214063,699.2241211,1212.314209
M83T695,83.0596021,695.0305,88410.65402,79577.60121,100443.8983
M83T1269,83.05917011,1269.02,727.804,176.29,1044.206543
M83T1370,83.04901986,1369.85,164.68,1654.22,1269.438171
M83T151,83.05959428,151.2115,230554.5137,163393.5925,254155.3337
M83T1184,83.06034507,1183.72,1107.24585,313.728,1063.082813
M83T1188,83.08474279,1187.97,503.4614258,233.9085714,163.856
M83T1323,83.08483925,1323.13,285.76,324.016,1922.385773
M83T1234,83.0848242,1234.225,261.9714286,292.315,686.604126
M83T1276,83.08476256,1276.06,1335.961365,1403.274023,1478.631226
M84T1215,83.95123774,1214.87,379.1875349,459.1250949,109.3311768
M84T1089,83.95064022,1089.025,191.2990723,197.496,128.4672546
M84T733,84.04479546,733.0185,71627.81425,5462.892557,163997.5704
M84T544,84.04399079,543.5775,19653.50916,3401.679094,19027.1665
M84T687,84.04416179,687.3205,61156.18326,7740.15488,36556.54102
M84T520,84.04289518,520.397,5497.426526,1573.688,11311.25895
M84T715,84.04416279,715.332,17833.922,5669.6885,21739.34983
M84T698,84.06338117,697.634,1931.494108,1610.177062,1775.025146
M84T1091,84.07833872,1090.8,167.71,167.20047,153.45
M84T560,84.08066211,560.1635,2826.749707,1820.980128,3878.17098
M84T1011,84.07901079,1010.66,672.888,841.8782552,2438.669922
M84T723,84.08085531,723.342,4473.3,1026.783088,5231.325845
M84T985,84.07902451,985.28,9129.515905,955.2012533,17410.28954
M85T573,84.91066274,572.9185,3109.871303,1376.830368,3010.259333
M85T1218,84.93980651,1218.04,167.3722839,329.7439209,294.4519531
M85T1186,84.94147888,1185.55,227.0522461,311.3371429,299.3475037
M85T1320,84.94141598,1320.39,269.7714844,244.1053711,264.2218262
M85T1337,84.96452253,1337.41,1415.118042,1082.045105,1740.887858
M85T558,85.02838712,558.494,44401.28258,9753.337606,13096.21141
M85T651,85.02848245,650.882,4927.745455,8355.617122,11201.29669
M85T1374,85.0395522,1374.44,1081.066992,389.004,1064.268311
M85T1093,85.03950737,1092.665,538.824,560.5671875,549.936
M85T419,85.07598436,418.843,210304.5763,77678.17311,284547.7725
M85T466,85.07441463,466.251,60539.63171,64432.99441,177171.9858
M86T654,86.05967072,654.206,18811.57155,12407.67797,25931.85273
M86T685,86.0603376,685.0075,144137.981,60253.97684,144168.3949
M86T1070,86.05926159,1069.725,490.8397914,353.3818182,453.968221
M86T496,86.0955797,496.1455,38814.97243,7017.135765,34965.49035
M86T475,86.09640083,474.8955,39768.77345,8932.885112,33054.66325
M86T911,86.09623347,911.099,136166.38,35780.66214,385744.9387
M86T1259,86.09572391,1258.99,461.76,286.3453125,151.696
M87T685_1,86.77827814,684.8675,724.329,461.6284615,1555.594095
M87T574,86.90796715,574.033,1006.56675,738.284946,1017.247737
M87T685_2,87.04448311,685.0255,329982.72,171886.5885,327569.0181
M87T54,87.04265825,53.995,122197.6369,159897.4892,149908.7889
M87T475,87.09852701,475.0585,1593.127969,229.1087743,986.8188333
M87T497,87.09849285,496.657,877.8876,303.9167132,1362.406577
M88T412,88.0209363,411.5065,1901.24885,1007.404394,2702.545103
M88T55,88.02029422,54.7395,7010.210377,5971.583461,7319.091037
M88T728,88.03886864,727.773,4980.492562,1891.8295,4886.675698
